Entidad,B1-A-Mucho-Recuento,B1-A-Mucho-% del N de fila,B1-A-Mucho-% de N columnas,B1-A-Regular-Recuento,B1-A-Regular-% del N de fila,B1-A-Regular-% de N columnas,B1-A-Poco-Recuento,B1-A-Poco-% del N de fila,B1-A-Poco-% de N columnas,B1-A-Nada-Recuento,B1-A-Nada-% del N de fila,B1-A-Nada-% de N columnas,B1-B-Mucho-Recuento,B1-B-Mucho-% del N de fila,B1-B-Mucho-% de N columnas,B1-B-Regular-Recuento,B1-B-Regular-% del N de fila,B1-B-Regular-% de N columnas,B1-B-Poco-Recuento,B1-B-Poco-% del N de fila,B1-B-Poco-% de N columnas,B1-B-Nada-Recuento,B1-B-Nada-% del N de fila,B1-B-Nada-% de N columnas,B1-C-Mucho-Recuento,B1-C-Mucho-% del N de fila,B1-C-Mucho-% de N columnas,B1-C-Regular-Recuento,B1-C-Regular-% del N de fila,B1-C-Regular-% de N columnas,B1-C-Poco-Recuento,B1-C-Poco-% del N de fila,B1-C-Poco-% de N columnas,B1-C-Nada-Recuento,B1-C-Nada-% del N de fila,B1-C-Nada-% de N columnas,B1-D-Mucho-Recuento,B1-D-Mucho-% del N de fila,B1-D-Mucho-% de N columnas,B1-D-Regular-Recuento,B1-D-Regular-% del N de fila,B1-D-Regular-% de N columnas,B1-D-Poco-Recuento,B1-D-Poco-% del N de fila,B1-D-Poco-% de N columnas,B1-D-Nada-Recuento,B1-D-Nada-% del N de fila,B1-D-Nada-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Regular-Recuento,B1-E-Regular del N de fila,B1-E-Regular-% de N columnas,B1-E-Poco-Recuento,B1-E-Poco-% del N de fila,B1-E-Poco-% de N columnas,B1-E-Nada-Recuento,B1-E-Nada-% del N de fila,B1-E-Nada-% de N columnas,B1-F-Mucho-Recuento,B1-F-Mucho-% del N de fila,B1-F-Mucho-% de N columnas,B1-F-Regular-Recuento,B1-F-Regular-% del N de fila,B1-F-Regular-% de N columnas,B1-F-Poco-Recuento,B1-F-Poco-% del N de fila,B1-F-Poco-% de N columnas,B1-F-Nada-Recuento,B1-F-Nada-% del N de fila,B1-F-Nada-% de N columnas,B1-G-Mucho-Recuento,B1-G-Mucho-% del N de fila,B1-G-Mucho-% de N columnas,B1-G-Regular-Recuento,B1-G-Regular-% del N de fila,B1-G-Regular-% de N columnas,B1-G-Poco-Recuento,B1-G-Poco-% del N de fila,B1-G-Poco-% de N columnas,B1-G-Nada-Recuento,B1-G-Nada-% del N de fila,B1-G-Nada-% de N columnas,B1-H-Mucho-Recuento,B1-H-Mucho-% del N de fila,B1-H-Mucho-% de N columnas,B1-H-Regular-Recuento,B1-H-Regular-% del N de fila,B1-H-Regular-% de N columnas,B1-H-Poco-Recuento,B1-H-Poco-% del N de fila,B1-H-Poco-% de N columnas,B1-H-Nada-Recuento,B1-H-Nada-% del N de fila,B1-H-Nada-% de N columnas,B1-I-Mucho-Recuento,B1-I-Mucho--% del N de fila,B1-I-Mucho-% de N columnas,B1-I-Regular-Recuento,B1-I-Regular-% del N de fila,B1-I-Regular-% de N columnas,B1-I-Poco-Recuento,B1-I-Poco-% del N de fila,B1-I-Poco-% de N columnas,B1-I-Nada-Recuento,B1-I-Nada-% del N de fila,B1-I-Nada-% de N columnas
Menor o igual a 10,968.00,0.34,0.65,1579.00,0.55,0.69,313.00,0.11,0.72,28.00,0.01,0.80,2030.00,0.70,0.67,814.00,0.28,0.69,42.00,0.02,0.67,2.00,0.00,0.67,1417.00,0.49,0.66,1245.00,0.43,0.69,221.00,0.08,0.70,5.00,0.00,0.71,1961.00,0.68,0.67,852.00,0.30,0.69,73.00,0.03,0.79,2.00,0.00,0.67,1957.00,0.68,0.67,831.00,0.29,0.69,93.00,0.03,0.75,7.00,0.00,0.58,1936.00,0.67,0.67,864.00,0.30,0.69,84.00,0.03,0.76,4.00,0.00,0.57,2243.00,0.78,0.67,598.00,0.21,0.72,44.00,0.02,0.80,3.00,0.00,1.00,1939.00,0.67,0.67,869.00,0.30,0.71,74.00,0.03,0.73,6.00,0.00,0.86,2099.00,0.73,0.67,729.00,0.25,0.70,56.00,0.02,0.64,4.00,0.00,0.80
11 a 20,331.00,0.37,0.22,482.00,0.54,0.21,76.00,0.09,0.18,4.00,0.00,0.11,643.00,0.72,0.21,241.00,0.27,0.21,9.00,0.01,0.14,0.00,0.00,0.00,489.00,0.55,0.23,346.00,0.39,0.19,57.00,0.06,0.18,1.00,0.00,0.14,645.00,0.72,0.22,236.00,0.26,0.19,11.00,0.01,0.12,1.00,0.00,0.33,631.00,0.71,0.22,236.00,0.26,0.20,22.00,0.03,0.18,4.00,0.00,0.33,623.00,0.70,0.22,250.00,0.28,0.20,18.00,0.02,0.16,2.00,0.00,0.29,727.00,0.81,0.22,156.00,0.18,0.19,10.00,0.01,0.18,0.00,0.00,0.00,641.00,0.72,0.22,233.00,0.26,0.19,18.00,0.02,0.18,1.00,0.00,0.14,661.00,0.74,0.21,213.00,0.24,0.20,18.00,0.02,0.21,1.00,0.00,0.20
21 a 30,185.00,0.39,0.13,240.00,0.51,0.10,44.00,0.09,0.10,3.00,0.01,0.09,341.00,0.72,0.11,118.00,0.25,0.10,12.00,0.03,0.19,1.00,0.00,0.33,231.00,0.49,0.11,204.00,0.43,0.11,36.00,0.08,0.12,1.00,0.00,0.14,321.00,0.68,0.11,142.00,0.30,0.12,9.00,0.02,0.10,0.00,0.00,0.00,325.00,0.69,0.11,137.00,0.29,0.11,9.00,0.02,0.07,1.00,0.00,0.08,323.00,0.68,0.11,140.00,0.30,0.11,8.00,0.02,0.07,1.00,0.00,0.14,393.00,0.83,0.12,78.00,0.17,0.09,1.00,0.00,0.02,0.00,0.00,0.00,331.00,0.70,0.11,131.00,0.28,0.11,10.00,0.02,0.10,0.00,0.00,0.00,353.00,0.75,0.11,106.00,0.23,0.10,13.00,0.03,0.15,0.00,0.00,0.00
31 a 40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41 a 50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mayor o igual a 51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Definitivo o base,1188.00,0.36,0.80,1802.00,0.54,0.78,331.00,0.10,0.76,25.00,0.01,0.71,2425.00,0.73,0.81,877.00,0.26,0.75,41.00,0.01,0.65,3.00,0.00,1.00,1720.00,0.51,0.81,1401.00,0.42,0.78,220.00,0.07,0.70,5.00,0.00,0.71,2375.00,0.71,0.81,902.00,0.27,0.73,67.00,0.02,0.72,2.00,0.00,0.67,2338.00,0.70,0.80,913.00,0.27,0.76,85.00,0.03,0.69,10.00,0.00,0.83,2325.00,0.70,0.81,945.00,0.28,0.75,69.00,0.02,0.63,7.00,0.00,1.00,2700.00,0.81,0.80,610.00,0.18,0.73,34.00,0.01,0.62,2.00,0.00,0.67,2338.00,0.70,0.80,937.00,0.28,0.76,66.00,0.02,0.65,5.00,0.00,0.71,2495.00,0.75,0.80,779.00,0.23,0.74,67.00,0.02,0.77,5.00,0.00,1.00
Interino,48.00,0.36,0.03,71.00,0.53,0.03,14.00,0.10,0.03,1.00,0.01,0.03,97.00,0.72,0.03,33.00,0.25,0.03,4.00,0.03,0.06,0.00,0.00,0.00,71.00,0.53,0.03,53.00,0.40,0.03,10.00,0.08,0.03,0.00,0.00,0.00,91.00,0.68,0.03,39.00,0.29,0.03,4.00,0.03,0.04,0.00,0.00,0.00,94.00,0.70,0.03,35.00,0.26,0.03,5.00,0.04,0.04,0.00,0.00,0.00,93.00,0.69,0.03,36.00,0.27,0.03,5.00,0.04,0.05,0.00,0.00,0.00,101.00,0.75,0.03,28.00,0.21,0.03,5.00,0.04,0.09,0.00,0.00,0.00,90.00,0.67,0.03,38.00,0.28,0.03,6.00,0.05,0.06,0.00,0.00,0.00,95.00,0.71,0.03,37.00,0.28,0.04,2.00,0.02,0.02,0.00,0.00,0.00
No tengo nombramiento,136.00,0.29,0.09,268.00,0.58,0.12,52.00,0.11,0.12,6.00,0.01,0.17,286.00,0.62,0.10,165.00,0.36,0.14,11.00,0.02,0.18,0.00,0.00,0.00,196.00,0.42,0.09,207.00,0.45,0.12,59.00,0.13,0.19,0.00,0.00,0.00,255.00,0.55,0.09,191.00,0.41,0.16,15.00,0.03,0.16,1.00,0.00,0.33,284.00,0.62,0.10,158.00,0.34,0.13,20.00,0.04,0.16,0.00,0.00,0.00,268.00,0.58,0.09,173.00,0.37,0.14,21.00,0.05,0.19,0.00,0.00,0.00,330.00,0.71,0.10,119.00,0.26,0.14,13.00,0.03,0.24,0.00,0.00,0.00,277.00,0.60,0.10,162.00,0.35,0.13,22.00,0.05,0.22,1.00,0.00,0.14,305.00,0.66,0.10,145.00,0.31,0.14,12.00,0.03,0.14,0.00,0.00,0.00
Otro,112.00,0.36,0.08,160.00,0.51,0.07,36.00,0.12,0.08,3.00,0.01,0.09,206.00,0.66,0.07,98.00,0.32,0.08,7.00,0.02,0.11,0.00,0.00,0.00,150.00,0.48,0.07,134.00,0.43,0.08,25.00,0.08,0.08,2.00,0.01,0.29,206.00,0.66,0.07,98.00,0.32,0.08,7.00,0.02,0.08,0.00,0.00,0.00,197.00,0.63,0.07,98.00,0.32,0.08,14.00,0.05,0.11,2.00,0.01,0.17,196.00,0.63,0.07,100.00,0.32,0.08,15.00,0.05,0.14,0.00,0.00,0.00,232.00,0.75,0.07,75.00,0.24,0.09,3.00,0.01,0.06,1.00,0.00,0.33,206.00,0.66,0.07,96.00,0.31,0.08,8.00,0.03,0.08,1.00,0.00,0.14,218.00,0.70,0.07,87.00,0.28,0.08,6.00,0.02,0.07,0.00,0.00,0.00
GENERAL PÚBLICA,921.00,0.33,0.62,1526.00,0.55,0.66,306.00,0.11,0.71,27.00,0.01,0.77,1980.00,0.71,0.66,759.00,0.27,0.65,40.00,0.01,0.64,1.00,0.00,0.33,1364.00,0.49,0.64,1180.00,0.42,0.66,231.00,0.08,0.74,5.00,0.00,0.71,1921.00,0.69,0.66,794.00,0.29,0.65,63.00,0.02,0.68,2.00,0.00,0.67,1883.00,0.68,0.65,804.00,0.29,0.67,82.00,0.03,0.66,11.00,0.00,0.92,1874.00,0.67,0.65,822.00,0.30,0.66,79.00,0.03,0.72,5.00,0.00,0.71,2213.00,0.80,0.66,533.00,0.19,0.64,32.00,0.01,0.58,2.00,0.00,0.67,1898.00,0.68,0.65,811.00,0.29,0.66,66.00,0.02,0.65,5.00,0.00,0.71,2052.00,0.74,0.66,673.00,0.24,0.64,52.00,0.02,0.60,3.00,0.00,0.60
INDÍGENAS,162.00,0.44,0.11,176.00,0.48,0.08,29.00,0.08,0.07,2.00,0.01,0.06,239.00,0.65,0.08,122.00,0.33,0.10,6.00,0.02,0.10,2.00,0.01,0.67,171.00,0.46,0.08,174.00,0.47,0.10,23.00,0.06,0.07,1.00,0.00,0.14,231.00,0.63,0.08,131.00,0.36,0.11,6.00,0.02,0.07,1.00,0.00,0.33,244.00,0.66,0.08,113.00,0.31,0.09,11.00,0.03,0.09,1.00,0.00,0.08,218.00,0.59,0.08,139.00,0.38,0.11,11.00,0.03,0.10,1.00,0.00,0.14,262.00,0.71,0.08,96.00,0.26,0.12,10.00,0.03,0.18,1.00,0.00,0.33,230.00,0.62,0.08,122.00,0.33,0.10,16.00,0.04,0.16,1.00,0.00,0.14,251.00,0.68,0.08,105.00,0.29,0.10,12.00,0.03,0.14,1.00,0.00,0.20
TÉCNICA,216.00,0.39,0.15,296.00,0.53,0.13,45.00,0.08,0.10,4.00,0.01,0.11,430.00,0.77,0.14,122.00,0.22,0.10,9.00,0.02,0.14,0.00,0.00,0.00,343.00,0.61,0.16,201.00,0.36,0.11,17.00,0.03,0.05,0.00,0.00,0.00,418.00,0.75,0.14,134.00,0.24,0.11,9.00,0.02,0.10,0.00,0.00,0.00,419.00,0.75,0.14,133.00,0.24,0.11,9.00,0.02,0.07,0.00,0.00,0.00,429.00,0.77,0.15,125.00,0.22,0.10,6.00,0.01,0.06,1.00,0.00,0.14,465.00,0.83,0.14,88.00,0.16,0.11,8.00,0.01,0.15,0.00,0.00,0.00,414.00,0.74,0.14,138.00,0.25,0.11,8.00,0.01,0.08,1.00,0.00,0.14,418.00,0.75,0.13,131.00,0.23,0.13,11.00,0.02,0.13,1.00,0.00,0.20
TELESECUNDARIA,185.00,0.34,0.13,303.00,0.56,0.13,53.00,0.10,0.12,2.00,0.00,0.06,365.00,0.67,0.12,170.00,0.31,0.15,8.00,0.02,0.13,0.00,0.00,0.00,259.00,0.48,0.12,240.00,0.44,0.13,43.00,0.08,0.14,1.00,0.00,0.14,357.00,0.66,0.12,171.00,0.32,0.14,15.00,0.03,0.16,0.00,0.00,0.00,367.00,0.68,0.13,154.00,0.28,0.13,22.00,0.04,0.18,0.00,0.00,0.00,361.00,0.67,0.13,168.00,0.31,0.13,14.00,0.03,0.13,0.00,0.00,0.00,423.00,0.78,0.13,115.00,0.21,0.14,5.00,0.01,0.09,0.00,0.00,0.00,369.00,0.68,0.13,162.00,0.30,0.13,12.00,0.02,0.12,0.00,0.00,0.00,392.00,0.72,0.13,139.00,0.26,0.13,12.00,0.02,0.14,0.00,0.00,0.00
Total,1484.00,0.35,1.00,2301.00,0.54,1.00,433.00,0.10,1.00,35.00,0.01,1.00,3014.00,0.71,1.00,1173.00,0.28,1.00,63.00,0.02,1.00,3.00,0.00,1.00,2137.00,0.50,1.00,1795.00,0.42,1.00,314.00,0.07,1.00,7.00,0.00,1.00,2927.00,0.69,1.00,1230.00,0.29,1.00,93.00,0.02,1.00,3.00,0.00,1.00,2913.00,0.69,1.00,1204.00,0.28,1.00,124.00,0.03,1.00,12.00,0.00,1.00,2882.00,0.68,1.00,1254.00,0.30,1.00,110.00,0.03,1.00,7.00,0.00,1.00,3363.00,0.79,1.00,832.00,0.20,1.00,55.00,0.01,1.00,3.00,0.00,1.00,2911.00,0.68,1.00,1233.00,0.29,1.00,102.00,0.02,1.00,7.00,0.00,1.00,3113.00,0.73,1.00,1048.00,0.25,1.00,87.00,0.02,1.00,5.00,0.00,1.00
