Entidad,B2-A-Totalmente de acuerdo-Recuento,B2-A-Totalmente de acuerdo-% del N de fila,B2-A-Totalmente de acuerdo-% de N columnas,B2-A-De acuerdo-Recuento,B2-A-De acuerdo-% del N de fila,B2-A-De acuerdo-% de N columnas,B2-A-En desacuerdo-Recuento,B2-A-En desacuerdo-% del N de fila,B2-A-En desacuerdo-% de N columnas,B2-A-Totalmente en desacuerdo-Recuento,B2-A-Totalmente en desacuerdo-% del N de fila,B2-A-Totalmente en desacuerdo-% de N columnas,B2-B-Totalmente de acuerdo-Recuento,B2-B-Totalmente de acuerdo-% del N de fila,B2-B-Totalmente de acuerdo-% de N columnas,B2-B-De acuerdo-Recuento,B2-B-De acuerdo-% del N de fila,B2-B-De acuerdo-% de N columnas,B2-B-En desacuerdo-Recuento,B2-B-En desacuerdo-% del N de fila,B2-B-En desacuerdo-% de N columnas,B2-B-Totalmente en desacuerdo-Recuento,B2-B-Totalmente en desacuerdo-% del N de fila,B2-B-Totalmente en desacuerdo-% de N columnas,B2-C-Totalmente de acuerdo-Recuento,B2-C-Totalmente de acuerdo-% del N de fila,B2-C-Totalmente de acuerdo-% de N columnas,B2-C-De acuerdo-Recuento,B2-C-De acuerdo-% del N de fila,B2-C-De acuerdo-% de N columnas,B2-C-En desacuerdo-Recuento,B2-C-En desacuerdo-% del N de fila,B2-C-En desacuerdo-% de N columnas,B2-C-Totalmente en desacuerdo-Recuento,B2-C-Totalmente en desacuerdo-% del N de fila,B2-C-Totalmente en desacuerdo-% de N columnas,B2-D-Totalmente de acuerdo-Recuento,B2-D-Totalmente de acuerdo-% del N de fila,B2-D-Totalmente de acuerdo-% de N columnas,B2-D-De acuerdo-Recuento,B2-D-De acuerdo-% del N de fila,B2-D-De acuerdo-% de N columnas,B2-D-En desacuerdo-Recuento,B2-D-En desacuerdo-% del N de fila,B2-D-En desacuerdo-% de N columnas,B2-D-Totalmente en desacuerdo-Recuento,B2-D-Totalmente en desacuerdo-% del N de fila,B2-D-Totalmente en desacuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-En desacuerdo-Recuento,B2-E-En desacuerdo-% del N de fila,B2-E-En desacuerdo-% de N columnas,B2-E-Totalmente en desacuerdo-Recuento,B2-E-Totalmente en desacuerdo-% del N de fila,B2-E-Totalmente en desacuerdo-% de N columnas,B2-F-Totalmente de acuerdo-Recuento,B2-F-Totalmente de acuerdo-% del N de fila,B2-F-Totalmente de acuerdo-% de N columnas,B2-F-De acuerdo-Recuento,B2-F-De acuerdo-% del N de fila,B2-F-De acuerdo-% de N columnas,B2-F-En desacuerdo-Recuento,B2-F-En desacuerdo-% del N de fila,B2-F-En desacuerdo-% de N columnas,B2-F-Totalmente en desacuerdo-Recuento,B2-F-Totalmente en desacuerdo-% del N de fila,B2-F-Totalmente en desacuerdo-% de N columnas,B2-G-Totalmente de acuerdo-Recuento,B2-G-Totalmente de acuerdo-% del N de fila,B2-G-Totalmente de acuerdo-% de N columnas,B2-G-De acuerdo-Recuento,B2-G-De acuerdo-% del N de fila,B2-G-De acuerdo-% de N columnas,B2-G-En desacuerdo-Recuento,B2-G-En desacuerdo-% del N de fila,B2-G-En desacuerdo-% de N columnas,B2-G-Totalmente en desacuerdo-Recuento,B2-G-Totalmente en desacuerdo-% del N de fila,B2-G-Totalmente en desacuerdo-% de N columnas,B2-H-Totalmente de acuerdo-Recuento,B2-H-Totalmente de acuerdo-% del N de fila,B2-H-Totalmente de acuerdo-% de N columnas,B2-H-De acuerdo-Recuento,B2-H-De acuerdo-% del N de fila,B2-H-De acuerdo-% de N columnas,B2-H-En desacuerdo-Recuento,B2-H-En desacuerdo-% del N de fila,B2-H-En desacuerdo-% de N columnas,B2-H-Totalmente en desacuerdo-Recuento,B2-H-Totalmente en desacuerdo-% del N de fila,B2-H-Totalmente en desacuerdo-% de N columnas,B2-I-Totalmente de acuerdo-Recuento,B2-I-Totalmente de acuerdo-% del N de fila,B2-I-Totalmente de acuerdo-% de N columnas,B2-I-De acuerdo-Recuento,B2-I-De acuerdo-% del N de fila,B2-I-De acuerdo-% de N columnas,B2-I-En desacuerdo-Recuento,B2-I-En desacuerdo-% del N de fila,B2-I-En desacuerdo-% de N columnas,B2-I-Totalmente en desacuerdo-Recuento,B2-I-Totalmente en desacuerdo-% del N de fila,B2-I-Totalmente en desacuerdo-% de N columnas
Especialidad,28.00,0.57,0.01,18.00,0.37,0.01,3.00,0.06,0.03,0.00,0.00,0.00,27.00,0.55,0.01,19.00,0.39,0.01,3.00,0.06,0.02,0.00,0.00,0.00,36.00,0.74,0.01,12.00,0.25,0.01,1.00,0.02,0.01,0.00,0.00,0.00,30.00,0.61,0.01,17.00,0.35,0.01,2.00,0.04,0.02,0.00,0.00,0.00,27.00,0.55,0.01,16.00,0.33,0.01,6.00,0.12,0.02,0.00,0.00,0.00,30.00,0.61,0.01,18.00,0.37,0.01,1.00,0.02,0.01,0.00,0.00,0.00,34.00,0.69,0.01,13.00,0.27,0.01,2.00,0.04,0.02,0.00,0.00,0.00,27.00,0.55,0.01,19.00,0.39,0.01,3.00,0.06,0.02,0.00,0.00,0.00,33.00,0.67,0.01,14.00,0.29,0.01,2.00,0.04,0.02,0.00,0.00,0.00
Maestría,1003.00,0.64,0.39,523.00,0.33,0.34,38.00,0.02,0.34,5.00,0.00,0.31,929.00,0.59,0.37,578.00,0.37,0.37,52.00,0.03,0.29,10.00,0.01,0.42,1005.00,0.64,0.38,531.00,0.34,0.35,29.00,0.02,0.40,4.00,0.00,0.31,901.00,0.57,0.38,620.00,0.40,0.36,44.00,0.03,0.33,4.00,0.00,0.57,888.00,0.57,0.38,587.00,0.37,0.37,85.00,0.05,0.34,9.00,0.01,0.28,887.00,0.57,0.40,637.00,0.41,0.34,42.00,0.03,0.39,3.00,0.00,0.33,955.00,0.61,0.39,580.00,0.37,0.35,32.00,0.02,0.31,2.00,0.00,0.18,924.00,0.59,0.38,594.00,0.38,0.35,45.00,0.03,0.33,6.00,0.00,0.33,954.00,0.61,0.37,581.00,0.37,0.37,28.00,0.02,0.25,6.00,0.00,0.38
Doctorado,283.00,0.65,0.11,140.00,0.32,0.09,11.00,0.03,0.10,2.00,0.01,0.13,284.00,0.65,0.11,129.00,0.30,0.08,20.00,0.05,0.11,3.00,0.01,0.13,299.00,0.69,0.11,127.00,0.29,0.08,7.00,0.02,0.10,3.00,0.01,0.23,271.00,0.62,0.12,149.00,0.34,0.09,16.00,0.04,0.12,0.00,0.00,0.00,266.00,0.61,0.11,136.00,0.31,0.09,32.00,0.07,0.13,2.00,0.01,0.06,259.00,0.59,0.12,164.00,0.38,0.09,11.00,0.03,0.10,2.00,0.01,0.22,278.00,0.64,0.11,143.00,0.33,0.09,13.00,0.03,0.13,2.00,0.01,0.18,274.00,0.63,0.11,141.00,0.32,0.08,17.00,0.04,0.13,4.00,0.01,0.22,288.00,0.66,0.11,130.00,0.30,0.08,15.00,0.03,0.14,3.00,0.01,0.19
Posdoctorado,7.00,0.50,0.00,5.00,0.36,0.00,2.00,0.14,0.02,0.00,0.00,0.00,7.00,0.50,0.00,6.00,0.43,0.00,1.00,0.07,0.01,0.00,0.00,0.00,9.00,0.64,0.00,4.00,0.29,0.00,1.00,0.07,0.01,0.00,0.00,0.00,8.00,0.57,0.00,5.00,0.36,0.00,1.00,0.07,0.01,0.00,0.00,0.00,10.00,0.71,0.00,3.00,0.21,0.00,1.00,0.07,0.00,0.00,0.00,0.00,8.00,0.57,0.00,5.00,0.36,0.00,1.00,0.07,0.01,0.00,0.00,0.00,10.00,0.71,0.00,3.00,0.21,0.00,1.00,0.07,0.01,0.00,0.00,0.00,9.00,0.64,0.00,4.00,0.29,0.00,1.00,0.07,0.01,0.00,0.00,0.00,10.00,0.71,0.00,3.00,0.21,0.00,1.00,0.07,0.01,0.00,0.00,0.00
Menor o igual a 10,1776.00,0.62,0.69,1024.00,0.36,0.66,77.00,0.03,0.68,11.00,0.00,0.69,1699.00,0.59,0.68,1054.00,0.37,0.68,117.00,0.04,0.66,18.00,0.01,0.75,1813.00,0.63,0.69,1016.00,0.35,0.66,50.00,0.02,0.69,9.00,0.00,0.69,1628.00,0.56,0.69,1165.00,0.40,0.67,91.00,0.03,0.69,4.00,0.00,0.57,1617.00,0.56,0.68,1073.00,0.37,0.67,176.00,0.06,0.71,22.00,0.01,0.69,1542.00,0.53,0.69,1261.00,0.44,0.67,79.00,0.03,0.74,6.00,0.00,0.67,1705.00,0.59,0.69,1108.00,0.38,0.67,69.00,0.02,0.68,6.00,0.00,0.55,1649.00,0.57,0.68,1128.00,0.39,0.67,99.00,0.03,0.73,12.00,0.00,0.67,1734.00,0.60,0.68,1066.00,0.37,0.68,76.00,0.03,0.69,12.00,0.00,0.75
11 a 20,532.00,0.60,0.21,338.00,0.38,0.22,21.00,0.02,0.19,2.00,0.00,0.13,530.00,0.59,0.21,324.00,0.36,0.21,36.00,0.04,0.20,3.00,0.00,0.13,545.00,0.61,0.21,335.00,0.38,0.22,12.00,0.01,0.16,1.00,0.00,0.08,489.00,0.55,0.21,375.00,0.42,0.22,27.00,0.03,0.21,2.00,0.00,0.29,503.00,0.56,0.21,337.00,0.38,0.21,48.00,0.05,0.19,5.00,0.01,0.16,465.00,0.52,0.21,414.00,0.46,0.22,14.00,0.02,0.13,0.00,0.00,0.00,506.00,0.57,0.20,364.00,0.41,0.22,20.00,0.02,0.20,3.00,0.00,0.27,511.00,0.57,0.21,359.00,0.40,0.21,20.00,0.02,0.15,3.00,0.00,0.17,546.00,0.61,0.21,323.00,0.36,0.21,21.00,0.02,0.19,3.00,0.00,0.19
21 a 30,269.00,0.57,0.10,185.00,0.39,0.12,15.00,0.03,0.13,3.00,0.01,0.19,266.00,0.56,0.11,178.00,0.38,0.11,25.00,0.05,0.14,3.00,0.01,0.13,272.00,0.58,0.10,186.00,0.39,0.12,11.00,0.02,0.15,3.00,0.01,0.23,249.00,0.53,0.11,208.00,0.44,0.12,14.00,0.03,0.11,1.00,0.00,0.14,245.00,0.52,0.10,199.00,0.42,0.12,23.00,0.05,0.09,5.00,0.01,0.16,233.00,0.49,0.10,222.00,0.47,0.12,14.00,0.03,0.13,3.00,0.01,0.33,270.00,0.57,0.11,187.00,0.40,0.11,13.00,0.03,0.13,2.00,0.00,0.18,260.00,0.55,0.11,193.00,0.41,0.12,16.00,0.03,0.12,3.00,0.01,0.17,269.00,0.57,0.11,188.00,0.40,0.12,14.00,0.03,0.13,1.00,0.00,0.06
31 a 40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41 a 50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mayor o igual a 51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Definitivo o base,2047.00,0.61,0.79,1195.00,0.36,0.77,91.00,0.03,0.81,13.00,0.00,0.81,1973.00,0.59,0.79,1211.00,0.36,0.78,142.00,0.04,0.80,20.00,0.01,0.83,2111.00,0.63,0.80,1172.00,0.35,0.76,53.00,0.02,0.73,10.00,0.00,0.77,1883.00,0.56,0.80,1356.00,0.41,0.78,103.00,0.03,0.78,4.00,0.00,0.57,1860.00,0.56,0.79,1261.00,0.38,0.78,202.00,0.06,0.82,23.00,0.01,0.72,1809.00,0.54,0.81,1450.00,0.43,0.76,79.00,0.02,0.74,8.00,0.00,0.89,1978.00,0.59,0.80,1276.00,0.38,0.77,81.00,0.02,0.79,11.00,0.00,1.00,1927.00,0.58,0.80,1296.00,0.39,0.77,107.00,0.03,0.79,16.00,0.01,0.89,2033.00,0.61,0.80,1203.00,0.36,0.76,95.00,0.03,0.86,15.00,0.00,0.94
Interino,88.00,0.66,0.03,44.00,0.33,0.03,2.00,0.02,0.02,0.00,0.00,0.00,87.00,0.65,0.04,41.00,0.31,0.03,5.00,0.04,0.03,1.00,0.01,0.04,92.00,0.69,0.04,40.00,0.30,0.03,2.00,0.02,0.03,0.00,0.00,0.00,82.00,0.61,0.04,48.00,0.36,0.03,3.00,0.02,0.02,1.00,0.01,0.14,85.00,0.63,0.04,38.00,0.28,0.02,10.00,0.08,0.04,1.00,0.01,0.03,75.00,0.56,0.03,56.00,0.42,0.03,3.00,0.02,0.03,0.00,0.00,0.00,84.00,0.63,0.03,48.00,0.36,0.03,2.00,0.02,0.02,0.00,0.00,0.00,80.00,0.60,0.03,48.00,0.36,0.03,6.00,0.05,0.04,0.00,0.00,0.00,84.00,0.63,0.03,47.00,0.35,0.03,3.00,0.02,0.03,0.00,0.00,0.00
No tengo nombramiento,257.00,0.56,0.10,193.00,0.42,0.13,11.00,0.02,0.10,1.00,0.00,0.06,250.00,0.54,0.10,196.00,0.42,0.13,15.00,0.03,0.08,1.00,0.00,0.04,243.00,0.53,0.09,210.00,0.46,0.14,9.00,0.02,0.12,0.00,0.00,0.00,242.00,0.52,0.10,210.00,0.46,0.12,10.00,0.02,0.08,0.00,0.00,0.00,261.00,0.57,0.11,181.00,0.39,0.11,18.00,0.04,0.07,2.00,0.00,0.06,207.00,0.45,0.09,242.00,0.52,0.13,13.00,0.03,0.12,0.00,0.00,0.00,248.00,0.54,0.10,205.00,0.44,0.12,9.00,0.02,0.09,0.00,0.00,0.00,245.00,0.53,0.10,206.00,0.45,0.12,10.00,0.02,0.07,1.00,0.00,0.06,252.00,0.55,0.10,202.00,0.44,0.13,7.00,0.02,0.06,1.00,0.00,0.06
Otro,185.00,0.60,0.07,115.00,0.37,0.07,9.00,0.03,0.08,2.00,0.01,0.13,185.00,0.60,0.07,108.00,0.35,0.07,16.00,0.05,0.09,2.00,0.01,0.08,184.00,0.59,0.07,115.00,0.37,0.08,9.00,0.03,0.12,3.00,0.01,0.23,159.00,0.51,0.07,134.00,0.43,0.08,16.00,0.05,0.12,2.00,0.01,0.29,159.00,0.51,0.07,129.00,0.42,0.08,17.00,0.06,0.07,6.00,0.02,0.19,149.00,0.48,0.07,149.00,0.48,0.08,12.00,0.04,0.11,1.00,0.00,0.11,171.00,0.55,0.07,130.00,0.42,0.08,10.00,0.03,0.10,0.00,0.00,0.00,168.00,0.54,0.07,130.00,0.42,0.08,12.00,0.04,0.09,1.00,0.00,0.06,180.00,0.58,0.07,125.00,0.40,0.08,6.00,0.02,0.05,0.00,0.00,0.00
GENERAL PÚBLICA,1671.00,0.60,0.65,1020.00,0.37,0.66,81.00,0.03,0.72,8.00,0.00,0.50,1592.00,0.57,0.64,1046.00,0.38,0.67,128.00,0.05,0.72,14.00,0.01,0.58,1711.00,0.62,0.65,1009.00,0.36,0.66,52.00,0.02,0.71,8.00,0.00,0.62,1528.00,0.55,0.65,1158.00,0.42,0.66,92.00,0.03,0.70,2.00,0.00,0.29,1501.00,0.54,0.64,1086.00,0.39,0.68,171.00,0.06,0.69,22.00,0.01,0.69,1434.00,0.52,0.64,1273.00,0.46,0.67,67.00,0.02,0.63,6.00,0.00,0.67,1591.00,0.57,0.64,1117.00,0.40,0.67,67.00,0.02,0.66,5.00,0.00,0.46,1550.00,0.56,0.64,1128.00,0.41,0.67,90.00,0.03,0.67,12.00,0.00,0.67,1651.00,0.59,0.65,1043.00,0.38,0.66,75.00,0.03,0.68,11.00,0.00,0.69
INDÍGENAS,225.00,0.61,0.09,138.00,0.37,0.09,5.00,0.01,0.04,1.00,0.00,0.06,232.00,0.63,0.09,124.00,0.34,0.08,12.00,0.03,0.07,1.00,0.00,0.04,219.00,0.59,0.08,143.00,0.39,0.09,6.00,0.02,0.08,1.00,0.00,0.08,205.00,0.56,0.09,155.00,0.42,0.09,8.00,0.02,0.06,1.00,0.00,0.14,207.00,0.56,0.09,143.00,0.39,0.09,17.00,0.05,0.07,2.00,0.01,0.06,189.00,0.51,0.08,170.00,0.46,0.09,9.00,0.02,0.08,1.00,0.00,0.11,208.00,0.56,0.08,155.00,0.42,0.09,5.00,0.01,0.05,1.00,0.00,0.09,216.00,0.59,0.09,144.00,0.39,0.09,8.00,0.02,0.06,1.00,0.00,0.06,217.00,0.59,0.09,144.00,0.39,0.09,7.00,0.02,0.06,1.00,0.00,0.06
TÉCNICA,362.00,0.65,0.14,188.00,0.34,0.12,9.00,0.02,0.08,2.00,0.00,0.13,355.00,0.63,0.14,190.00,0.34,0.12,13.00,0.02,0.07,3.00,0.01,0.13,384.00,0.68,0.15,172.00,0.31,0.11,4.00,0.01,0.06,1.00,0.00,0.08,342.00,0.61,0.15,208.00,0.37,0.12,11.00,0.02,0.08,0.00,0.00,0.00,341.00,0.61,0.14,189.00,0.34,0.12,30.00,0.05,0.12,1.00,0.00,0.03,339.00,0.60,0.15,213.00,0.38,0.11,9.00,0.02,0.08,0.00,0.00,0.00,368.00,0.66,0.15,176.00,0.31,0.11,14.00,0.03,0.14,3.00,0.01,0.27,352.00,0.63,0.15,187.00,0.33,0.11,19.00,0.03,0.14,3.00,0.01,0.17,364.00,0.65,0.14,185.00,0.33,0.12,10.00,0.02,0.09,2.00,0.00,0.13
TELESECUNDARIA,319.00,0.59,0.12,201.00,0.37,0.13,18.00,0.03,0.16,5.00,0.01,0.31,316.00,0.58,0.13,196.00,0.36,0.13,25.00,0.05,0.14,6.00,0.01,0.25,316.00,0.58,0.12,213.00,0.39,0.14,11.00,0.02,0.15,3.00,0.01,0.23,291.00,0.54,0.12,227.00,0.42,0.13,21.00,0.04,0.16,4.00,0.01,0.57,316.00,0.58,0.13,191.00,0.35,0.12,29.00,0.05,0.12,7.00,0.01,0.22,278.00,0.51,0.12,241.00,0.44,0.13,22.00,0.04,0.21,2.00,0.00,0.22,314.00,0.58,0.13,211.00,0.39,0.13,16.00,0.03,0.16,2.00,0.00,0.18,302.00,0.56,0.13,221.00,0.41,0.13,18.00,0.03,0.13,2.00,0.00,0.11,317.00,0.58,0.12,205.00,0.38,0.13,19.00,0.04,0.17,2.00,0.00,0.13
Total,2577.00,0.61,1.00,1547.00,0.36,1.00,113.00,0.03,1.00,16.00,0.00,1.00,2495.00,0.59,1.00,1556.00,0.37,1.00,178.00,0.04,1.00,24.00,0.01,1.00,2630.00,0.62,1.00,1537.00,0.36,1.00,73.00,0.02,1.00,13.00,0.00,1.00,2366.00,0.56,1.00,1748.00,0.41,1.00,132.00,0.03,1.00,7.00,0.00,1.00,2365.00,0.56,1.00,1609.00,0.38,1.00,247.00,0.06,1.00,32.00,0.01,1.00,2240.00,0.53,1.00,1897.00,0.45,1.00,107.00,0.03,1.00,9.00,0.00,1.00,2481.00,0.58,1.00,1659.00,0.39,1.00,102.00,0.02,1.00,11.00,0.00,1.00,2420.00,0.57,1.00,1680.00,0.40,1.00,135.00,0.03,1.00,18.00,0.00,1.00,2549.00,0.60,1.00,1577.00,0.37,1.00,111.00,0.03,1.00,16.00,0.00,1.00
